"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000268970.1","ENSG00000268970.1",0.497143656445175,1.64401867563567,0.0453093917918187,"152","209","0.608265596261153",0.570374643269172,0.0310158312033332,"ENSG00000268970",NA,NA
"ENSG00000185565.12","ENSG00000185565.12",-0.552243108561248,0.575657099708626,0.0377329081361687,"229","132","1.73714525627524",0.562784625660331,0.0292390855459892,"ENSG00000185565","LSAMP","limbic system associated membrane protein"
"ENSG00000127328.22","ENSG00000127328.22",-0.682009406391245,0.505600015045768,0.0214903878933209,"40","321","1.97784804240854",0.549213674175724,0.0249119369357908,"ENSG00000127328","RAB3IP","RAB3A interacting protein"
"ENSG00000066739.12","ENSG00000066739.12",-0.624835921377617,0.535349260682289,0.0117325937444195,"196","165","1.86793944335615",0.58145606897808,0.0312400791726314,"ENSG00000066739","ATG2B","autophagy related 2B"
"ENSG00000203993.6","ENSG00000203993.6",0.609948093829442,1.8403358715148,0.00866664010267231,"247","114","0.543379073069357",0.614244945048273,0.0325204266176712,"ENSG00000203993","ARRDC1-AS1","ARRDC1 antisense RNA 1"
"ENSG00000248810.2","ENSG00000248810.2",0.866852887589367,2.37941078472413,0.0451355039010856,"352","9","0.420272113760273",0.522618252474346,0.0144886071338426,"ENSG00000248810","LINC02432","long intergenic non-protein coding RNA 2432"
"ENSG00000215414.4","ENSG00000215414.4",-0.51056145412109,0.600158522724464,0.0329016025984715,"187","174","1.66622644207471",0.559930779039407,0.0326261100583221,"ENSG00000215414",NA,NA
"ENSG00000255284.2","ENSG00000255284.2",0.596297540786052,1.81538495343835,0.031540268372075,"131","230","0.550847355050505",0.575869816017973,0.0282296888246002,"ENSG00000255284","GATD1-DT","GATD1 divergent transcript"
"ENSG00000265681.7","ENSG00000265681.7",-0.510719581506843,0.600063628729096,0.0300661855423062,"120","241","1.66648993893856",0.538223328678123,0.0320383779390581,"ENSG00000265681","RPL17","ribosomal protein L17"
"ENSG00000235029.1","ENSG00000235029.1",0.748645810730713,2.11413513813875,0.027947034385615,"88","273","0.473006659773123",0.582640111725059,0.0192515089797725,"ENSG00000235029","MNX1-AS2","MNX1 antisense RNA 2"
"ENSG00000184060.11","ENSG00000184060.11",0.536045640149794,1.70923455244608,0.0273665057401989,"258","103","0.585057210883611",0.542868419454733,0.0310138779392701,"ENSG00000184060","ADAP2","ArfGAP with dual PH domains 2"
"ENSG00000122912.15","ENSG00000122912.15",-0.833881226685643,0.434360160256193,0.0146154755092224,"283","78","2.30223692571202",0.561236262068128,0.0220481139692828,"ENSG00000122912","SLC25A16","solute carrier family 25 member 16"
"ENSG00000176531.10","ENSG00000176531.10",0.839210775984406,2.31453956554736,0.0487933424847866,"54","307","0.43205137422808",0.567976197704779,0.011852890270947,"ENSG00000176531","PHLDB3","pleckstrin homology like domain family B member 3"
"ENSG00000151229.13","ENSG00000151229.13",-0.692951111977738,0.500098043902454,0.0421731350346709,"33","328","1.99960790127596",0.537525047058109,0.0224977383994023,"ENSG00000151229","SLC2A13","solute carrier family 2 member 13"
"ENSG00000138835.22","ENSG00000138835.22",0.797264021872722,2.21946021932752,0.0192725592256307,"97","264","0.450560001612911",0.565790272633433,0.0244074488633891,"ENSG00000138835","RGS3","regulator of G protein signaling 3"
"ENSG00000075975.17","ENSG00000075975.17",1.10161510033515,3.00902197386615,0.0333505992467056,"351","10","0.332333897420878",0.519460805149068,0.0146652609372963,"ENSG00000075975","MKRN2","makorin ring finger protein 2"
"ENSG00000182134.16","ENSG00000182134.16",0.861080418029876,2.36571527488605,0.0310375545499843,"344","17","0.422705137264739",0.521889610783897,0.0174125862085077,"ENSG00000182134","TDRKH","tudor and KH domain containing"
